,data,venda_g,venda_e
0,2005/01,2.209181711394608,1.2458699304907823
1,2005/02,2.2012783254206876,1.231982798494269
2,2005/03,2.2038872231033757,1.225707914869708
3,2005/04,2.2016411309664417,1.2243151633994829
4,2005/05,2.1831564931444634,1.119367695317014
5,2005/06,2.1745407719899603,1.0057151969517895
6,2005/07,2.1677794208153913,1.0559778914572289
7,2005/08,2.176445150518361,1.0790212385766493
8,2005/09,2.3153324186280804,1.1318275945874732
9,2005/10,2.3796131942671974,1.265492435467342
10,2005/11,2.3837341823319576,1.2879883975290252
11,2005/12,2.3993529276146046,1.3952590662588753
12,2006/01,2.4221697405187417,1.5352589450151166
13,2006/02,2.427055952759034,1.5719512261230544
14,2006/03,2.510670266473673,1.7916870798331168
15,2006/04,2.514090647553909,1.7499188160825092
16,2006/05,2.4962235463702753,1.46995587410148
17,2006/06,2.4647826391440577,1.3280882564369565
18,2006/07,2.4726042879466714,1.3555304235629215
19,2006/08,2.478804067976211,1.376465016781498
20,2006/09,2.4639281423219,1.2976976079952334
21,2006/10,2.4690115611526418,1.2492661966427334
22,2006/11,2.4721377639414603,1.2516439017598064
23,2006/12,2.4577271576910844,1.2458785731401385
24,2007/01,2.447223892222716,1.3909089743489191
25,2007/02,2.4437673771748414,1.3913571948721033
26,2007/03,2.4426352610876916,1.3863583731676947
27,2007/04,2.45490698418215,1.4718487060099328
28,2007/05,2.468977405843759,1.4671581567405438
29,2007/06,2.452673778405236,1.3034627145662407
30,2007/07,2.424028132290744,1.1882881175039977
31,2007/08,2.413117218074961,1.1171016471824222
32,2007/09,2.4086522076694976,1.0967125939316322
33,2007/10,2.3977533784211795,1.0762984656511925
34,2007/11,2.412271582098752,1.191082501986246
35,2007/12,2.442623650647465,1.3049758299235874
36,2008/01,2.425782766150265,1.2972929736265266
37,2008/02,2.4243368861793897,1.2520041782574938
38,2008/03,2.425949441445888,1.2812351637690287
39,2008/04,2.4285580792674017,1.2858132406338938
40,2008/05,2.4225096022411834,1.2780080834599434
41,2008/06,2.4309454984029744,1.2558094903770078
42,2008/07,2.4278474794741114,1.2560107488844527
43,2008/08,2.4290666278603266,1.2628732547751023
44,2008/09,2.4315505127368535,1.2791416700666929
45,2008/10,2.4333822223591977,1.3171597725684459
46,2008/11,2.435854622630406,1.3221431973540079
47,2008/12,2.438124477395793,1.32641059011991
48,2009/01,2.4282734352772737,1.3179484944133675
49,2009/02,2.4319407543399625,1.3502653499046449
50,2009/03,2.4239499128384305,1.324997630648512
51,2009/04,2.426638361086897,1.2630847790964357
52,2009/05,2.4148390625187366,1.2136231797351626
53,2009/06,2.407490180288145,1.161443828657466
54,2009/07,2.4003078202602612,1.1973421927869812
55,2009/08,2.3954237584190454,1.2373638503908297
56,2009/09,2.395365465404208,1.298983300764834
57,2009/10,2.4297829447126196,1.48525250746389
58,2009/11,2.4668870905792306,1.5597750868910318
59,2009/12,2.481688550034752,1.6008094937360564
60,2010/01,2.5183265905708603,1.8112482131770984
61,2010/02,2.540478859231826,1.8431361010172977
62,2010/03,2.508557879767384,1.6421580895101437
63,2010/04,2.4795554741630674,1.485139598185079
64,2010/05,2.4506149381829574,1.3713350926830565
65,2010/06,2.4559473551050806,1.300372731282453
66,2010/07,2.455823301370533,1.3404777119553544
67,2010/08,2.459624455113353,1.4022726384265245
68,2010/09,2.4690236175417315,1.4286530923840708
69,2010/10,2.490087144597179,1.555094551611415
70,2010/11,2.5030409118908175,1.6029170285665764
71,2010/12,2.516851565406856,1.673067182947691
72,2011/01,2.524152308270061,1.738088763280935
73,2011/02,2.522181414369473,1.7617662850943963
74,2011/03,2.577258584674196,2.0098935373289253
75,2011/04,2.7376632120096525,2.1692226903095215
76,2011/05,2.7749547683387887,1.8707051826558245
77,2011/06,2.668620991570689,1.706170476813639
78,2011/07,2.6787138508247312,1.8073092947624352
79,2011/08,2.6698247048499995,1.824765525466175
80,2011/09,2.667497301576514,1.8924005357631652
81,2011/10,2.673784527403326,1.8839904616508596
82,2011/11,2.674127195712662,1.9010051479961882
83,2011/12,2.6894612750239815,1.9407782999066878
84,2012/01,2.669560971174667,1.9086458943302673
85,2012/02,2.6529258922987133,1.833188884265315
86,2012/03,2.6673766877939538,1.8594206603371883
87,2012/04,2.664428095687187,1.8773210653194095
88,2012/05,2.6479808105134053,1.8504546224548772
89,2012/06,2.648593093599021,1.8181379305775578
90,2012/07,2.649273418067375,1.7930676609046647
91,2012/08,2.6397976713303017,1.7702037758712341
92,2012/09,2.640764592631611,1.7749742327493498
93,2012/10,2.644466777343454,1.7726359259952431
94,2012/11,2.6428780995399515,1.7762154447205218
95,2012/12,2.6554737737406744,1.8198047890713271
96,2013/01,2.6601081905589883,1.8351006598517707
97,2013/02,2.788157514016681,1.8796962900296363
98,2013/03,2.7910407979468066,1.9495542619174082
99,2013/04,2.7860615786003065,1.9587156565537944
100,2013/05,2.7834269220678225,1.9293885139325821
101,2013/06,2.758131489885563,1.8163101072965095
102,2013/07,2.7385848996919178,1.7814185460624383
103,2013/08,2.7394053002390386,1.7611235188827041
104,2013/09,2.733602021288166,1.7560762925428317
105,2013/10,2.7379719637903577,1.777645481516013
106,2013/11,2.741172754480359,1.791847922175262
107,2013/12,2.8493804751417526,1.8921700606677534
108,2014/01,2.852683898534035,1.9085265472897035
109,2014/02,2.863852186556062,1.9532516726939673
110,2014/03,2.9037737722598154,2.0613179559903094
111,2014/04,2.9152914348397974,2.0548633103196816
112,2014/05,2.74,1.94
112,2014/06,2.813,1.92
113,2014/07,2.886938183624325,1.904512381572312
114,2014/08,2.8835635935907202,1.9005326053467861
115,2014/09,2.8842856671073878,1.8979590123600127
116,2014/10,2.8715101841168056,1.8747785553908203
117,2014/11,2.9119651787573613,1.898026700913822
118,2014/12,2.933399067223025,1.923882287007741
119,2015/01,2.9511341524176142,1.9568729728936338
120,2015/02,3.167340404930955,2.1012695930744294
121,2015/03,3.1947059397724042,2.1081574345927323
122,2015/04,3.190572075963145,2.075364627940623
123,2015/05,3.162490455994002,2.02603171612036
124,2015/06,3.1479900806636003,1.9862981426467936
125,2015/07,3.135944056442294,1.9577986434569776
126,2015/08,3.128144953754726,1.9311986078965822
127,2015/09,3.1389776849241935,1.9553395195033882
128,2015/10,3.3454856803920436,2.279829824440875
129,2015/11,3.4720480265424127,2.497419959701406
130,2015/12,3.5173906088400178,2.555051776542875
131,2016/01,3.540533623090938,2.6083492021371577
132,2016/02,3.5675296679029205,2.6903749364084955
133,2016/03,3.570963899085636,2.7542675542035515
134,2016/04,3.559470377165626,2.5647863069807104
135,2016/05,3.5165942035566107,2.2713916343029688
136,2016/06,3.4991449655581928,2.2723585383880343
137,2016/07,3.4615742201499193,2.2317377516904884
138,2016/08,3.4793004645487677,2.2948081310889417
139,2016/09,3.489622289900819,2.3352619306402285
140,2016/10,3.5098767040516194,2.5347358988511304
141,2016/11,3.545756854396857,2.695649268893708
142,2016/12,3.6008591404398285,2.699435756468907
143,2017/01,3.6572131599977062,2.7910913418614594
144,2017/02,3.6453956561906713,2.752366510318695
145,2017/03,3.5631886019447676,2.5715576682369203
146,2017/04,3.505771651026532,2.4575135858516957
147,2017/05,3.46497962823524,2.4064667134396025
148,2017/06,3.3987689447607514,2.2974697114310625
149,2017/07,3.3869186357415013,2.252689834726422
150,2017/08,3.5811256473766346,2.4269910996758886
151,2017/09,3.6819012580002144,2.4816751966129185
152,2017/10,3.724434729348449,2.5129661552954796
153,2017/11,3.849209188144572,2.6503474230789212
154,2017/12,3.9353270981389885,2.7673919481069067
155,2018/01,4.017822564007866,2.862485833108524
156,2018/02,4.035760900656901,2.9049193835799403
157,2018/03,4.0335629683334915,2.8941699978503657
158,2018/04,4.051171590464847,2.8281258800103073
159,2018/05,4.158700306287994,2.6735821800811865
160,2018/06,4.378156240086652,2.7844317146616864
161,2018/07,4.286649533358815,2.603580047325717
162,2018/08,4.251554675969013,2.4611921275772457
163,2018/09,4.420093598532353,2.6194681662387254
164,2018/10,4.539661014832032,2.779020867036884
165,2018/11,4.400260322445785,2.7653607773779414
166,2018/12,4.171967211245768,2.6607375902244956
167,2019/01,4.091581165097287,2.640388270762268
168,2019/02,4.005472314383313,2.618778240053512
169,2019/03,4.089700686219161,2.8182739760021955
170,2019/04,4.20351600117504,2.858474155888729
171,2019/05,4.308384157829874,2.818895315550833
172,2019/06,4.237484865764588,2.629101549975776
173,2019/07,4.1452742093998065,2.5653486592525523
174,2019/08,4.122817583143648,2.6289105952051894
175,2019/09,4.121177298232427,2.653046703730715
176,2019/10,4.166321019729107,2.7062879181035235
177,2019/11,4.179003221801037,2.7832550403876755
178,2019/12,4.3309235947782545,2.947922336815493
179,2020/01,4.389501389155755,3.0442126219523167
180,2020/02,4.388743881261562,3.0839538506025135
181,2020/03,4.299331959257877,3.0066721589211207
182,2020/04,3.9259960720992564,2.5832029082205263
183,2020/05,3.690304413323127,2.3581176885310535
184,2020/06,3.80427205229238,2.4735180684132207
185,2020/07,3.9529146320667206,2.570338529392121
186,2020/08,4.02538343241347,2.596902555843828
186,2020/09,4.110834937698678,2.7262
187,2020/10,4.196286442983886,2.8537981334591076
188,2020/11,4.212873663235905,2.9502530831677314
189,2020/12,4.240079576567408,3.039191617062974
190,2021/01,4.322975298541838,3.046528063440269
191,2021/02,4.661716688125236,3.296514619696311
192,2021/03,5.226718012108615,3.865115711811031
193,2021/04,5.22870248542191,3.627334088180674
194,2021/05,5.38035917700913,4.088185323251103
195,2021/06,5.434217005455877,4.182080637808985
196,2021/07,5.4916245750037485,4.103737769654725
197,2021/08,5.634649794265422,4.256734448757142
198,2021/09,5.702940296991145,4.396707307640566
